NMec = 2020
T = 19
P = 8
Profits not ignored
Solution time = 7.610e-03
Viable tasks = 403338
Total Profit = 31394
Task     Starting date     Ending date     Profit 
1               0              25           3737
2               1              15           3059
3               1              18           1591
4               3              19           2921
5               3              28           5287
6               4              22           3118
7               5              19           3518
8               6              17           1317
9               7              15            998
10             10              20           1222
11             12              21           1108
12             12              26           3070
13             14              16            741
14             15              17            491
15             16              24           2349
16             18              20            778
17             20              23            819
18             20              28            879
19             22              26            542
End
