NMec = 2020
T = 28
P = 6
Profits not ignored
Solution time = 8.112e-01
Viable tasks = 41051500
Total Profit = 36155
Task     Starting date     Ending date     Profit 
1               0              46           5138
2               1               4            872
3               1               5            629
4               3              20           2361
5               4              15           1201
6               5               9            448
7               5              15           1412
8               7              21           2983
9               7              30           4127
10             11              33           2034
11             12              34           3380
12             15              37           2560
13             16              31           2222
14             16              31           1897
15             17              26           1413
16             18              31           2015
17             19              31           1634
18             20              27           1311
19             20              41           1735
20             27              33           1169
21             28              41           3386
22             28              42           1412
23             30              45           3409
24             31              35            473
25             31              40           2250
26             31              46           1088
27             33              45           1315
28             34              44           2268
End
