NMec = 2020
T = 29
P = 1
Profits not ignored
Solution time = 6.662e-03
Viable tasks = 413952
Total Profit = 30609
Task     Starting date     Ending date     Profit 
1               6              12           1127
2              31              55           4826
3              35              42            755
4              56              78           3375
5              57              82           3047
6              60              67            773
7              67              73            766
8              70              87           2706
9              71             103           3880
10             73              85           1693
11             81              91           1844
12             90             103           3012
13            103             111           1438
14            103             119           3901
15            104             122           2853
16            111             119           1761
17            130             155           2464
18            146             163           2079
19            155             161            688
20            180             204           6427
21            191             200           1172
22            201             206           1204
23            206             217           1398
24            222             236           1731
25            236             246           2294
26            246             262           1769
27            253             267           2244
28            257             269           1333
29            278             285            485
End
