NMec = 2020
T = 1
P = 1
Profits not ignored
Solution time = 1.744e-06
Viable tasks = 2
Total Profit = 1608
Task     Starting date     Ending date     Profit 
1               6              18           1608
2       -12327688           32713     1298566440
3       -12518975           32713     1298566144
4      1298566160           32765      -12471831
5               2               0      -12619560
6               9               0              0
7               1               0      -12330520
8      1298566228           32765      -12619560
9       -12330520           32713      -12327688
End
