NMec = 2020
T = 13
P = 3
Profits not ignored
Solution time = 2.773e-05
Viable tasks = 1226
Total Profit = 12285
Task     Starting date     Ending date     Profit 
1               1              19           1824
2               4              27           1773
3              10              27           3400
4              11              22           1926
5              12              21            910
6              14              26           2674
7              16              38           2019
8              17              38           3794
9              21              40           1171
10             23              29            655
11             24              33           1752
12             25              37           2160
13             28              41           1005
End
