NMec = 2020
T = 30
P = 4
Profits not ignored
Solution time = 2.343e+00
Viable tasks = 126623710
Total Profit = 43534
Task     Starting date     Ending date     Profit 
1               1               8           1149
2               1              16           2898
3               2               8            715
4               2              21           4342
5               2              74           7496
6               6              19            846
7               8              17           1644
8              10              21           1650
9              12              21           1970
10             12              24           1725
11             19              39           3306
12             27              33           1299
13             27              68           6739
14             28              41           2075
15             30              39           1718
16             33              36            880
17             33              52           2695
18             33              73           8188
19             35              42            975
20             37              49           2705
21             42              54           1450
22             46              55           1009
23             50              70           2290
24             53              57            938
25             54              66           1351
26             56              69           3086
27             56              72           3743
28             56              74           1628
29             60              74           2367
30             68              73           1505
End
