NMec = 2020
T = 17
P = 2
Profits not ignored
Solution time = 2.245e-04
Viable tasks = 11286
Total Profit = 21267
Task     Starting date     Ending date     Profit 
1               0              15           1500
2               4              26           2958
3               9              24           2335
4              12              22           1831
5              21              38           2647
6              25              42           3471
7              26              46           4091
8              37              58           2477
9              39              49           2670
10             44              56           1836
11             49              57           1071
12             62              80           3932
13             65              79           2700
14             67              81           2161
15             68              82           2567
16             71              83           1235
17             77              84           1289
End
