NMec = 2020
T = 4
P = 2
Profits not ignored
Solution time = 1.793e-06
Viable tasks = 11
Total Profit = 5123
Task     Starting date     Ending date     Profit 
1               3              20           1507
2              11              27           2117
3              14              23           1082
4              16              29           3006
5               2               0      865849560
6               9               0              0
7               1               0      866138600
8        15186004           32765      865849560
9       866138600           32627      866141432
End
