NMec = 2020
T = 16
P = 7
Profits not ignored
Solution time = 7.496e-04
Viable tasks = 31052
Total Profit = 27520
Task     Starting date     Ending date     Profit 
1               0              24           2233
2               0              29           8398
3               1              19           3570
4               1              19           1940
5               1              23           1759
6               3              24           1588
7               6              18           3051
8               6              19           1415
9               7              21           2987
10              8              27           1670
11             10              25           3690
12             12              18            944
13             13              22           2386
14             16              24           2099
15             16              25           1175
16             19              24           1205
End
