NMec = 2020
T = 7
P = 5
Profits not ignored
Solution time = 7.618e-06
Viable tasks = 128
Total Profit = 5767
Task     Starting date     Ending date     Profit 
1               1               5            770
2              13              24           1573
3              15              17            433
4              15              19            600
5              15              26           1441
6              19              23            696
7              26              27            254
8      1404566980           32766     1686311128
9      1686600168           32699     1686603000
End
