NMec = 2020
T = 23
P = 7
Profits not ignored
Solution time = 2.766e-02
Viable tasks = 1318442
Total Profit = 37496
Task     Starting date     Ending date     Profit 
1               0              15           1764
2               1              15           2471
3               1              23           5724
4               2              18           1682
5               2              18           2713
6               2              18           4534
7               2              24           4327
8               3              27           2521
9               5              32           5676
10              6              13           2085
11              6              21           3131
12              8              23           2773
13              9              23            958
14             10              23           2218
15             10              32           3554
16             11              26           1530
17             11              29           4397
18             13              29           1497
19             14              29           2785
20             17              31           4135
21             20              25           1362
22             21              30           1002
23             22              28            537
End
