NMec = 2020
T = 5
P = 5
Profits not ignored
Solution time = 1.825e-06
Viable tasks = 32
Total Profit = 7294
Task     Starting date     Ending date     Profit 
1               0              17           2788
2               4              10            939
3              11              19           1490
4              15              23            926
5              18              26           1151
6               9               0              0
7               1               0      824314344
8      -369872748           32767      824025304
9       824314344           32522      824317176
End
