NMec = 2020
T = 21
P = 5
Profits not ignored
Solution time = 1.025e-02
Viable tasks = 470034
Total Profit = 23954
Task     Starting date     Ending date     Profit 
1               0              19           3155
2               2              23           2755
3               3              14           2735
4               3              14           2358
5               4              13           2085
6               6              21            897
7               7              32           4810
8               9              19           1397
9              12              34           3574
10             12              36           2374
11             13              19            745
12             15              16            326
13             17              25           1916
14             17              32           1436
15             17              34           1655
16             18              34           1555
17             19              26           1559
18             21              22            503
19             23              37           1121
20             29              37           1467
21             34              37            264
End
