NMec = 2020
T = 5
P = 3
Profits not ignored
Solution time = 2.633e-06
Viable tasks = 29
Total Profit = 9452
Task     Starting date     Ending date     Profit 
1               1               7            961
2               2              20           2550
3               6              17           1297
4               6              21           3791
5              13              29           2150
6               9               0              0
7               1               0     -987854360
8      1965248932           32767     -988143400
9      -987854360           32611     -987851528
End
