NMec = 2020
T = 21
P = 2
Profits not ignored
Solution time = 9.400e-04
Viable tasks = 57864
Total Profit = 36097
Task     Starting date     Ending date     Profit 
1               6              10            702
2              12              19           1389
3              12              36           4078
4              15              32           2256
5              23             104          21658
6              25              37           1401
7              27              51           2890
8              29              47           2766
9              38              84           3048
10             40              48           1171
11             43              60           2137
12             46              57           3070
13             50              55           1270
14             53              58            716
15             69              79           1182
16             70              97           4717
17             71              92           2130
18             74              94           1402
19             76              96           4191
20             81              91            877
21            101             104            483
End
