NMec = 2020
T = 32
P = 1
Profits not ignored
Solution time = 5.132e-03
Viable tasks = 233476
Total Profit = 75856
Task     Starting date     Ending date     Profit 
1               4              24           2228
2               5             293          21734
3               8             316          75856
4              13             193          23854
5              15              39           4854
6              20              34           2631
7              21              45           3050
8              39              46           1113
9              39              52           2389
10             41              52           1128
11             43              52           1334
12             57              62            613
13             64              66            448
14            118             130           1569
15            134             153           1692
16            140             149           2043
17            142             148           1286
18            147             167           1921
19            182             318          13117
20            189             199           1345
21            225             245           3360
22            228             240           1875
23            232             254           3218
24            236             248           1397
25            245             248            521
26            246             269           2330
27            265             269            417
28            278             291           1970
29            282             300           2616
30            292             299            897
31            292             304           2755
32            297             307           1711
End
