NMec = 2020
T = 11
P = 6
Profits not ignored
Solution time = 6.109e-05
Viable tasks = 1696
Total Profit = 22127
Task     Starting date     Ending date     Profit 
1               2              24           5905
2               4              22           4455
3               5              25           5241
4               6              15            679
5               8               9            241
6               8              20           1307
7              11              28           2092
8              11              29           2083
9              13              19            676
10             15              16            432
11             15              23           2110
End
