NMec = 2020
T = 30
P = 1
Profits not ignored
Solution time = 3.750e-03
Viable tasks = 209333
Total Profit = 55704
Task     Starting date     Ending date     Profit 
1               1              10           1156
2               9              21           2249
3              21             289          41831
4              29              43           1682
5              36              49           1938
6              36              52           3455
7              49              62           2183
8              52             298          51517
9              64             258          45508
10             79              88            719
11             83             107           2055
12             90             111           2436
13             98             104            847
14            101             107            643
15            104             116           3411
16            128             133            804
17            131             298          17326
18            138             145            577
19            160             168           1691
20            163             175            965
21            167             189           5920
22            201             222           2330
23            202             210           1186
24            226             231           1017
25            234             252           5376
26            244             253           2441
27            245             254           1619
28            247             264           1703
29            251             274           2357
30            267             283           2841
End
