NMec = 2020
T = 19
P = 6
Profits not ignored
Solution time = 4.528e-03
Viable tasks = 217904
Total Profit = 23675
Task     Starting date     Ending date     Profit 
1               0               5            394
2               0              31           4274
3               1              15           1575
4               2              14           1854
5               2              15           1330
6               2              26           2257
7               3               9            559
8               5              17           1328
9               6              11            533
10              6              17           1109
11              6              20           2940
12              6              27           2407
13             10              31           4336
14             12              17            697
15             12              20           1321
16             14              31           1154
17             16              31           1587
18             17              28           3082
19             20              27           1744
End
