NMec = 2020
T = 22
P = 8
Profits not ignored
Solution time = 5.496e-02
Viable tasks = 2902334
Total Profit = 28324
Task     Starting date     Ending date     Profit 
1               0               2            380
2               0              11           2475
3               1               8           1241
4               3               7            511
5               3               9            681
6               3              22           2142
7               4              17           2044
8               4              23           3034
9               5               7            519
10              5              13           1945
11              5              16           1057
12              5              24           3802
13              7              20           2000
14              7              24           2499
15              7              28           2900
16              9              17            758
17             11              21           1713
18             11              26           3311
19             12              20            718
20             15              25           1658
21             17              27           1444
22             21              28           1591
End
