NMec = 2020
T = 31
P = 7
Profits not ignored
Solution time = 6.642e+00
Viable tasks = 335657308
Total Profit = 35944
Task     Starting date     Ending date     Profit 
1               1               5            433
2               1               9            518
3               7              40           5623
4              10              14           1107
5              10              19            875
6              11              16           1289
7              11              26           2091
8              12              26           3386
9              13              28           2093
10             13              42           2842
11             16              23            525
12             17              30           1175
13             18              29            982
14             20              43           3585
15             21              26           1326
16             21              30           2168
17             22              34           1111
18             23              26            738
19             24              30           1056
20             24              37           2572
21             24              42           2989
22             25              30            452
23             26              40           1693
24             26              44           3303
25             27              44           1301
26             28              42           2244
27             28              44           1142
28             29              40           2436
29             32              44           2764
30             35              42            624
31             35              44           1504
End
