NMec = 2020
T = 15
P = 1
Profits not ignored
Solution time = 1.147e-05
Viable tasks = 642
Total Profit = 14392
Task     Starting date     Ending date     Profit 
1               1             118          13269
2               4              17           1162
3               5              14           2052
4               5              16           1187
5               9              32           2940
6              14              23           2486
7              16              27           1772
8              47              62           2690
9              49              66           3609
10             65              74           1581
11             86             101           2793
12            102             113           2027
13            103             111           1288
14            109             130           1718
15            132             145           1123
End
