NMec = 2020
T = 21
P = 1
Profits not ignored
Solution time = 4.776e-04
Viable tasks = 23932
Total Profit = 37619
Task     Starting date     Ending date     Profit 
1               9              20            807
2              23              29            680
3              32             185          34013
4              35              61           4101
5              40              60           3695
6              51              76           4173
7              66              84           3291
8              70              81           1502
9              73              82           1414
10             91              98            873
11            106             114           1281
12            111             125           1704
13            119             137           2259
14            120             137           1822
15            122             127           1183
16            133             145           1200
17            144             163           3532
18            164             170            886
19            178             195           2099
20            195             205           1830
21            197             207           2119
End
