NMec = 2020
T = 7
P = 7
Profits not ignored
Solution time = 5.297e-06
Viable tasks = 128
Total Profit = 16473
Task     Starting date     Ending date     Profit 
1               0               5           1165
2               5              22           3443
3               6              21           3913
4              11              22           3197
5              13              21           1523
6              13              25           1704
7              16              29           1528
8      2003819060           32766      830845144
9       831134184           32666      831137016
End
