NMec = 2020
T = 12
P = 6
Profits not ignored
Solution time = 1.110e-04
Viable tasks = 3386
Total Profit = 24534
Task     Starting date     Ending date     Profit 
1               3              10            830
2               3              20           3855
3               5              16            996
4               6              10           1030
5               6              21           3710
6               8              23           3826
7               8              26           5165
8              11              22           1206
9              11              27           1197
10             11              29           3150
11             14              26           2968
12             16              27           1363
End
