NMec = 2020
T = 24
P = 6
Profits not ignored
Solution time = 5.275e-02
Viable tasks = 3067070
Total Profit = 32051
Task     Starting date     Ending date     Profit 
1               0              12           2372
2               1              19           3118
3               4              12            572
4               4              23           4030
5               5              13           1791
6               5              23           1982
7               6              15           1356
8               6              16           1032
9               6              24           1524
10              9              31           5298
11             10              24           2798
12             10              30           5653
13             13              36           2801
14             15              30           1859
15             16              30           2042
16             18              29           1484
17             18              32           3049
18             19              24            520
19             20              30           1324
20             21              37           1555
21             23              38           2770
22             23              38           2956
23             31              34            637
24             35              38            250
End
