NMec = 2020
T = 25
P = 5
Profits not ignored
Solution time = 1.121e-01
Viable tasks = 6861246
Total Profit = 32655
Task     Starting date     Ending date     Profit 
1               0              12           1554
2               1              14           1549
3               1              45           4487
4               2              24           2143
5               3              12           1721
6               3              45           2991
7               4              11           1125
8               4              36           7011
9               6              18           3410
10              9              13            556
11             11              32           2331
12             14              23            853
13             14              25           1380
14             15              36           2002
15             16              24            674
16             16              32           2624
17             18              27            818
18             23              47           5169
19             24              31            834
20             28              41           1463
21             32              36           1181
22             33              42           1421
23             38              47           1086
24             43              46            546
25             44              48            758
End
