NMec = 2020
T = 17
P = 3
Profits not ignored
Solution time = 1.076e-04
Viable tasks = 5666
Total Profit = 23095
Task     Starting date     Ending date     Profit 
1               3              12            917
2               4              18           1947
3               6              42           4542
4               6              56           7903
5              12              29           1818
6              14              36           2026
7              14              48           6654
8              15              30           2255
9              16              33           2331
10             16              38           3868
11             17              35           4478
12             23              41           2622
13             24              34           1074
14             27              54           5674
15             30              36            747
16             39              48           2025
17             42              53           2098
End
