NMec = 2020
T = 10
P = 5
Profits not ignored
Solution time = 1.893e-05
Viable tasks = 743
Total Profit = 18479
Task     Starting date     Ending date     Profit 
1               1              23           3297
2               4              26           3741
3               5              25           4547
4               6              14           1131
5               6              18           3021
6               8              18           2678
7               9              16           1076
8               9              22           1938
9              16              27           2058
10             16              29           2742
End
