NMec = 2020
T = 25
P = 1
Profits not ignored
Solution time = 3.785e-03
Viable tasks = 197122
Total Profit = 31403
Task     Starting date     Ending date     Profit 
1               8             224          30065
2              24              41           1807
3              57              59            672
4              59              66            897
5              60              70           1877
6              64              81           3536
7              75              83            970
8              77              85            521
9              79              88            944
10             90              95            813
11             97             123           2233
12             98             104            497
13            119             132           2033
14            122             133           2876
15            131             147           2239
16            152             162           1353
17            170             174           1321
18            170             194           2952
19            180             194           2724
20            191             195            281
21            198             204            943
22            202             217           3890
23            206             227           5172
24            223             230           2245
25            240             249           1338
End
