NMec = 2020
T = 20
P = 2
Profits not ignored
Solution time = 4.645e-04
Viable tasks = 22632
Total Profit = 28270
Task     Starting date     Ending date     Profit 
1               0               8           1716
2               3              96           6820
3              11              17            553
4              25              33           2386
5              26              36           2331
6              26              66           5176
7              27              35            893
8              29              51           5186
9              43              99          10755
10             47              62           1264
11             58              75           3912
12             60              69           1321
13             66              75            750
14             69              77           1458
15             72              86           1724
16             74              82            784
17             74              99           6353
18             75              83            621
19             82              95           1258
20             88              99           1286
End
