NMec = 2020
T = 32
P = 7
Profits not ignored
Solution time = 1.366e+01
Viable tasks = 706715319
Total Profit = 44644
Task     Starting date     Ending date     Profit 
1               1              45           5614
2               2              17           3191
3               2              19           2217
4               2              37           6006
5               3              25           2094
6               3              25           4434
7               4              23           3289
8               5              31           2989
9               6              12           1087
10              7              18           1409
11              8              43           5210
12             10              41           4126
13             11              25           1650
14             13              24           1184
15             14              24           1964
16             14              32           2669
17             16              33           2816
18             17              21            777
19             18              43           2752
20             19              28           1412
21             22              29           1469
22             24              38           2024
23             26              29            458
24             27              29            363
25             27              36           2441
26             29              45           2337
27             31              41           2438
28             32              40           2028
29             36              42            796
30             36              43           1243
31             38              39            215
32             38              45           1885
End
