NMec = 2020
T = 22
P = 1
Profits not ignored
Solution time = 5.953e-04
Viable tasks = 37260
Total Profit = 29281
Task     Starting date     Ending date     Profit 
1               4              14           2452
2               6              29           1831
3              25              40           2141
4              37              57           3572
5              46              58           2810
6              48              66           4444
7              48              71           4740
8              79              93           3442
9              96             114           3551
10             98             114           2419
11            126             138           2536
12            131             138           1240
13            142             160           2949
14            156             172           3263
15            162             183           2258
16            165             175           1357
17            166             185           2187
18            178             195           1869
19            179             190           2132
20            193             213           3981
21            197             202           1287
22            211             218           1114
End
