NMec = 2020
T = 29
P = 5
Profits not ignored
Solution time = 6.342e-01
Viable tasks = 37144959
Total Profit = 41899
Task     Starting date     Ending date     Profit 
1               0               7            764
2               1               6            518
3               1              10           1096
4               1              21           2112
5               2              15           1635
6               2              15           2924
7               4              14           1463
8               5              14           1338
9               5              18           3937
10              5              47           4921
11              6              24           4543
12              9              39           7697
13             10              27           2230
14             12              19           1317
15             12              39           6337
16             13              33           2600
17             14              23           2409
18             15              35           2567
19             17              36           2381
20             19              46           1648
21             20              39           3625
22             27              34           1007
23             27              43           3766
24             28              41           2506
25             29              49           4117
26             34              57           3752
27             38              50           1445
28             44              49            521
29             46              54           2251
End
