NMec = 2020
T = 13
P = 2
Profits not ignored
Solution time = 2.008e-05
Viable tasks = 794
Total Profit = 18638
Task     Starting date     Ending date     Profit 
1               0              17           2578
2               1               9           1398
3               1              42           9677
4               5              25           2820
5              13              17            607
6              24              50           1965
7              29              37            968
8              30              51           3933
9              33              59           3483
10             36              52           1971
11             39              62           4102
12             42              58           2311
13             44              51           1071
End
