NMec = 2020
T = 27
P = 2
Profits not ignored
Solution time = 5.759e-02
Viable tasks = 3352120
Total Profit = 36234
Task     Starting date     Ending date     Profit 
1               0              11           2183
2               8              24           2030
3              12              23           1846
4              17              40           5152
5              21              27           1743
6              22             116           9066
7              27              43           3535
8              33              39            861
9              34              48           3936
10             41              49           1135
11             45              58           2383
12             49              59            718
13             52              61           1455
14             53              60           1797
15             62              65            481
16             75              85           1833
17             77             110           4046
18             78             105           2350
19             83              96           3289
20             85              94            667
21             89             109           2327
22             93              97            798
23             99             113           2751
24            103             120           3044
25            114             127           3984
26            115             131           3354
27            116             130           2286
End
