NMec = 2020
T = 24
P = 2
Profits not ignored
Solution time = 5.310e-03
Viable tasks = 269980
Total Profit = 24489
Task     Starting date     Ending date     Profit 
1               8              22           1422
2              12              18           1893
3              13              22           2374
4              15              22           1985
5              19              30           1801
6              20              34           2464
7              30              37            896
8              31              37           1269
9              31              39            663
10             33              73           3006
11             36              44           1808
12             45              47            340
13             46              63           1459
14             46              64           4691
15             60              68           1728
16             60              79           3505
17             61              88           4014
18             63              66            868
19             69              91           3542
20             74              84           1727
21             76              93           3833
22             80              88           2312
23             80              96           1676
24             85             102           1359
End
