NMec = 2020
T = 30
P = 7
Profits not ignored
Solution time = 6.880e+00
Viable tasks = 404913330
Total Profit = 37976
Task     Starting date     Ending date     Profit 
1               1              34           3611
2               2               4            384
3               3              14           1176
4               3              41           3003
5               4              11            928
6               6              22           3579
7               7              11            885
8               8              18           2172
9               8              21           1521
10              9              20           1045
11             11              19            750
12             12              27           3473
13             12              29           2931
14             14              19           1032
15             15              33           4416
16             16              26           1196
17             19              27           1735
18             19              32           1022
19             20              27            959
20             20              28           1066
21             20              38           2779
22             23              32            893
23             23              34           2040
24             25              42           2073
25             26              40           3033
26             29              36           1240
27             29              39           1807
28             34              38            803
29             34              39            614
30             35              42           1329
End
