NMec = 2020
T = 16
P = 8
Profits not ignored
Solution time = 1.165e-03
Viable tasks = 63964
Total Profit = 30126
Task     Starting date     Ending date     Profit 
1               0               7           1164
2               0              23           2689
3               1              16           1264
4               2               9           1054
5               4              20           4398
6               4              26           4039
7               5              20           1781
8               7               8            186
9               7              20           3031
10              7              27           2845
11              9              27           4916
12             13              23           1313
13             15              24           1583
14             18              25           1287
15             22              27            712
16             23              29           1144
End
