NMec = 98498
T = 37
P = 2
Profits ignored
Solution time = 6.510e-01
Maximum possible tasks = 18
Solutions = 2750
Task data
    0 183     1    -1
    1  14     1     0
    9  25     1    -1
   11  24     1    -1
   13  29     1    -1
   16  23     1    -1
   16  31     1    -1
   20  28     1    -1
   20  28     1     0
   20  32     1     1
   24 178     1    -1
   27 112     1    -1
   33 175     1    -1
   38  45     1     0
   50  60     1     0
   53  62     1     1
   61  77     1    -1
   62  79     1    -1
   67  78     1     0
   75  83     1     1
   81 100     1     0
   85  88     1     1
   87 102     1    -1
   91 106     1    -1
   98 117     1     1
  101 112     1     0
  115 135     1    -1
  118 136     1    -1
  119 146     1     0
  121 122     1     1
  129 169     1    -1
  134 146     1     1
  142 153     1    -1
  145 154     1    -1
  150 151     1     0
  150 155     1     1
  166 176     1     0
End
