NMec = 98498
T = 38
P = 2
Profits ignored
Solution time = 5.382e+00
Maximum possible tasks = 20
Solutions = 6120
Task data
    3  10     1    -1
    4  14     1    -1
    5  29     1     0
    7  16     1     1
   11 108     1    -1
   17  83     1    -1
   28  40     1    -1
   29  42     1     1
   38  53     1     0
   47  64     1     1
   53  72     1    -1
   60  62     1     0
   63  74     1    -1
   65  76     1     0
   66  70     1     1
   73  83     1     1
   78  96     1    -1
   81 144     1    -1
   82  91     1     0
   89 100     1     1
  110 137     1    -1
  113 124     1    -1
  116 128     1     0
  120 141     1     1
  140 142     1     0
  140 163     1    -1
  142 150     1     1
  144 160     1    -1
  149 159     1     0
  153 160     1    -1
  153 167     1    -1
  160 172     1     0
  160 173     1     1
  163 178     1    -1
  164 185     1    -1
  166 182     1    -1
  174 179     1     0
  174 189     1     1
End
