NMec = 98498
T = 33
P = 6
Profits not ignored
Solution time = 1.263e+01
Viable job selections = 693746523
Best total profit = 54102
Task data
    0  54 10639     0
    1  16  1544    -1
    1  24  6507     1
    1  54 10273     2
    3  14  1895    -1
    3  22  4342     3
    3  24  3943    -1
    3  46  5385    -1
    4  11  1790     4
    6  24  5120    -1
    9  22  1487    -1
   10  17  2052     5
   12  20  1610    -1
   13  25  3592     4
   14  25  1649    -1
   16  26  2655    -1
   16  32  1835    -1
   16  34  1225    -1
   18  33  1169    -1
   19  40  4374     5
   23  31  1212    -1
   23  34  1843     3
   24  35  2031    -1
   25  46  1647    -1
   27  32   450     1
   28  35   883    -1
   30  33   255     4
   33  45  1994     1
   34  46  1570     4
   35  43  1605     3
   37  43   688    -1
   42  52  2005     5
   44  54   811     3
End
