NMec = 98498
T = 19
P = 2
Profits not ignored
Solution time = 2.319e-04
Viable job selections = 12023
Best total profit = 35207
Task data
    0  84 22561     0
    5  19  1144    -1
    6  22  3793     1
    9  21  3667    -1
   10  26  2083    -1
   13  22  2000    -1
   19  30  1460    -1
   23  33  1178    -1
   24  40  3168     1
   29  41  2206    -1
   31  42  3128    -1
   33  56  2727    -1
   39  47  1949    -1
   40  52  1807    -1
   44  88  4442    -1
   47  58   861    -1
   50  60  1426     1
   54  73  5237    -1
   72  90  4259     1
End
