NMec = 98498
T = 39
P = 1
Profits ignored
Solution time = 5.945e-01
Maximum possible tasks = 21
Solutions = 64
Task data
    7  11     1     0
    9 220     1    -1
   13 368     1    -1
   17  25     1     0
   35  46     1    -1
   36  40     1     0
   38 275     1    -1
   42  52     1    -1
   46  58     1     0
   75  86     1    -1
   81  86     1     0
   87  88     1     0
  101 256     1    -1
  104 108     1     0
  115 126     1     0
  124 138     1    -1
  129 133     1     0
  136 137     1     0
  139 154     1    -1
  143 156     1     0
  169 181     1     0
  204 215     1     0
  207 230     1    -1
  227 230     1     0
  230 251     1    -1
  232 250     1     0
  233 274     1    -1
  263 273     1    -1
  263 276     1    -1
  268 275     1     0
  276 292     1     0
  295 304     1     0
  313 333     1     0
  332 341     1    -1
  336 345     1    -1
  338 349     1     0
  344 359     1    -1
  351 367     1    -1
  353 377     1     0
End
