NMec = 98498
T = 26
P = 3
Profits not ignored
Solution time = 4.254e-02
Viable job selections = 2029034
Best total profit = 37880
Task data
    0  84 17062     0
    3  24  2797     1
    5  27  2025    -1
    6  15  1241     2
   16  35  2381    -1
   19  26  1032     2
   19  32  1752    -1
   21  33  1414    -1
   24  32   956    -1
   27  34  1482    -1
   30  44  2934     1
   30  47  4394     2
   32  54  2449    -1
   40  66  4028    -1
   41  50   761    -1
   43  53  1061    -1
   48  69  1524    -1
   58  64   668    -1
   60  75  3100     1
   60  76  2009    -1
   61  69  1746    -1
   61  76  2285    -1
   61  86  4561     2
   62  74  1167    -1
   76  80   505    -1
   78  84   759     1
End
