NMec = 98512
T = 38
P = 3
Profits ignored
Solution time = 1.054e+01
Maximum possible tasks = 22
Solutions = 900
Task data
    5   9     1     0
    6  16     1     1
   14  16     1     0
   15 116     1    -1
   16  25     1    -1
   18  35     1    -1
   22  31     1     0
   23  38     1     1
   24  32     1     2
   25  40     1    -1
   26  49     1    -1
   32  34     1     0
   34  42     1     2
   35 123     1    -1
   39  55     1     0
   39  56     1     1
   48  60     1     2
   54 110     1    -1
   58  77     1    -1
   65  74     1    -1
   67  75     1     0
   68  78     1     1
   71  82     1     2
   79  81     1     0
   84 101     1    -1
   90 102     1    -1
   90 108     1    -1
   91 105     1     0
   93 100     1     1
   94 104     1     2
   96 110     1    -1
   98 116     1    -1
   99 108     1    -1
   99 116     1    -1
  104 111     1     1
  105 117     1     2
  108 118     1     0
  116 117     1     1
End
