NMec = 98512
T = 35
P = 3
Profits ignored
Solution time = 2.061e+01
Maximum possible tasks = 24
Solutions = 440
Task data
    0   5     1     0
    0  14     1    -1
    3   6     1     1
    3  18     1    -1
    4  17     1    -1
    8  18     1    -1
    8  22     1     0
    9  19     1     1
   13  23     1     2
   20  32     1     1
   23  40     1    -1
   28  36     1     0
   34  43     1     1
   35  39     1     2
   40  45     1     0
   43  55     1     2
   43  67     1    -1
   44  64     1    -1
   45  55     1     1
   46  52     1     0
   57  75     1     0
   59  65     1     1
   61  86     1    -1
   63  73     1     2
   74  79     1    -1
   74  81     1     1
   74  92     1     2
   75 102     1    -1
   79  88     1     0
   84 104     1    -1
   87  93     1     1
   90 100     1     0
   94 112     1     1
   95 115     1     2
  102 109     1     0
End
