NMec = 98512
T = 23
P = 4
Profits not ignored
Solution time = 4.891e-03
Viable job selections = 520627
Best total profit = 34608
Task data
    0  57 12200     0
    3  11  1771     1
    5  18  1088    -1
    5  26  2615    -1
    6  14   902    -1
    6  21  1501    -1
    7  54  7559     2
    8  57  7078     3
   12  47  4857     1
   13  54  2246    -1
   15  20   558    -1
   20  32  2464    -1
   22  28  1338    -1
   22  36  1679    -1
   23  57  5169    -1
   27  44  2531    -1
   28  41   801    -1
   30  36  1067    -1
   30  47  1855    -1
   31  36   662    -1
   34  48  1639    -1
   38  44  1356    -1
   48  56  1143     1
End
