NMec = 98512
T = 36
P = 3
Profits ignored
Solution time = 6.222e+00
Maximum possible tasks = 20
Solutions = 360
Task data
    2  20     1     0
    3  10     1     1
    4  20     1     2
    4  23     1    -1
   12  33     1    -1
   13  31     1     1
   22  32     1     0
   22  33     1     2
   31  43     1    -1
   35  42     1     0
   36  94     1    -1
   37  52     1    -1
   39  46     1     1
   39  54     1    -1
   40  51     1     2
   46  60     1     0
   47  87     1    -1
   50  65     1     1
   57  73     1    -1
   58  75     1     2
   61  77     1    -1
   61  77     1    -1
   61 110     1    -1
   62  83     1     0
   68  83     1     1
   72  95     1    -1
   77  96     1     2
   81 101     1    -1
   91 101     1     0
   93  95     1     1
   93 109     1    -1
   96 108     1    -1
   98 114     1    -1
   99 106     1     1
   99 107     1     2
  102 117     1     0
End
