NMec = 98512
T = 35
P = 2
Profits ignored
Solution time = 2.513e-01
Maximum possible tasks = 18
Solutions = 255
Task data
   27  99     1    -1
   28  34     1     0
   37 168     1    -1
   44 122     1    -1
   52  63     1     0
   54  58     1     1
   61  76     1    -1
   69  87     1    -1
   70  85     1     0
   71  76     1     1
   82  89     1     1
   89 101     1    -1
   91  99     1     0
   93 107     1    -1
   97 104     1     1
   99 116     1    -1
  100 117     1    -1
  100 117     1    -1
  101 124     1    -1
  102 112     1    -1
  104 113     1     0
  112 122     1     1
  117 127     1     0
  122 143     1    -1
  128 135     1     0
  130 135     1     1
  131 146     1    -1
  132 149     1    -1
  135 148     1    -1
  139 141     1     0
  140 149     1     1
  146 150     1     0
  152 167     1    -1
  156 166     1     0
  156 170     1     1
End
