NMec = 98512
T = 38
P = 1
Profits ignored
Solution time = 6.721e-02
Maximum possible tasks = 15
Solutions = 3744
Task data
    5  20     1     0
    8 349     1    -1
   30  44     1    -1
   33  42     1    -1
   33  49     1    -1
   35  53     1    -1
   36  51     1     0
   47  71     1    -1
   53  75     1     0
   65  83     1    -1
   78  81     1    -1
   79  93     1     0
   94 101     1     0
  104 245     1    -1
  110 129     1    -1
  115 130     1    -1
  117 272     1    -1
  119 125     1    -1
  121 140     1     0
  134 142     1    -1
  137 153     1    -1
  138 153     1    -1
  142 152     1     0
  187 197     1    -1
  191 195     1     0
  202 212     1     0
  204 373     1    -1
  216 223     1     0
  217 240     1    -1
  231 241     1    -1
  235 244     1     0
  258 272     1     0
  292 305     1    -1
  302 312     1     0
  333 343     1     0
  345 362     1    -1
  354 364     1    -1
  358 369     1     0
End
