NMec = 98512
T = 39
P = 2
Profits ignored
Solution time = 3.623e-01
Maximum possible tasks = 18
Solutions = 1824
Task data
    0 192     1    -1
    4  19     1     0
   13 127     1    -1
   16  22     1     1
   20  31     1    -1
   26  29     1     0
   27  38     1    -1
   27  44     1    -1
   27  44     1    -1
   27 103     1    -1
   28  37     1     1
   31  42     1    -1
   32  42     1    -1
   34  36     1     0
   36 128     1    -1
   37  49     1    -1
   37 194     1    -1
   38  50     1     0
   39  58     1     1
   49 104     1    -1
   57  78     1    -1
   58  74     1    -1
   69  70     1     0
   70  79     1     1
   77 100     1    -1
   81  99     1    -1
   84 104     1    -1
   85  91     1     0
   89 111     1    -1
   90 104     1     1
  100 105     1     0
  103 119     1    -1
  106 114     1     0
  106 116     1    -1
  113 122     1     1
  116 136     1     0
  141 151     1     0
  153 180     1     0
  179 189     1     1
End
