NMec = 98512
T = 36
P = 1
Profits ignored
Solution time = 1.143e-01
Maximum possible tasks = 17
Solutions = 540
Task data
    5  14     1     0
   24  34     1     0
   26  50     1    -1
   27 348     1    -1
   39  41     1     0
   44  50     1     0
   61  78     1    -1
   78  85     1     0
   86  94     1    -1
   90 111     1    -1
   93  94     1     0
   97 121     1    -1
  101 283     1    -1
  110 219     1    -1
  115 125     1     0
  120 136     1    -1
  128 138     1     0
  136 157     1    -1
  155 159     1     0
  170 178     1    -1
  174 194     1    -1
  175 189     1     0
  208 221     1    -1
  210 221     1    -1
  216 225     1     0
  241 260     1    -1
  243 246     1     0
  250 253     1    -1
  250 259     1     0
  261 270     1     0
  266 278     1    -1
  277 288     1     0
  295 304     1     0
  310 323     1    -1
  320 334     1    -1
  323 336     1     0
End
