NMec = 98512
T = 39
P = 1
Profits ignored
Solution time = 1.384e-01
Maximum possible tasks = 18
Solutions = 72
Task data
    0  12     1     0
    0 389     1    -1
    4  31     1    -1
   13 348     1    -1
   16  21     1     0
   27  37     1     0
   35  62     1    -1
   50  71     1    -1
   52  61     1     0
   82  92     1    -1
   87 105     1     0
   91 107     1    -1
  102 117     1    -1
  104 122     1    -1
  106 121     1    -1
  106 124     1     0
  109 129     1    -1
  120 146     1    -1
  126 127     1     0
  137 157     1     0
  149 316     1    -1
  152 279     1    -1
  168 178     1    -1
  178 196     1     0
  228 238     1     0
  240 246     1     0
  242 259     1    -1
  256 265     1     0
  268 270     1     0
  269 280     1    -1
  271 292     1     0
  302 318     1     0
  308 325     1    -1
  318 335     1    -1
  325 331     1     0
  341 353     1     0
  360 374     1    -1
  368 387     1    -1
  373 386     1     0
End
