NMec = 98512
T = 36
P = 6
Profits not ignored
Solution time = 2.622e+01
Viable job selections = 4176696827
Best total profit = 53708
Task data
    0  59 10884     0
    1   6  1059     1
    1  13  1495     2
    1  16  2066     3
    1  22  1870    -1
    2  19  1835    -1
    3  10   795    -1
    3  58  7123    -1
    4  18  2063     4
    5  21  4429     5
    9  18   760    -1
   11  23  1740    -1
   11  45  7088     1
   12  29  1243    -1
   13  55  5218    -1
   15  29  1229     2
   15  36  4146    -1
   17  35  4855     3
   17  41  2142    -1
   18  36  1625    -1
   19  38  1591    -1
   20  22   483     4
   25  40  3825     4
   25  45  3604     5
   27  35   607    -1
   28  35  1705    -1
   30  39  2893    -1
   31  50  3493     2
   34  39  1390    -1
   34  44  2162    -1
   37  57  1379     3
   46  54   766    -1
   47  56  1540     1
   49  58  2122     4
   50  55  1061     5
   53  58  1033     2
End
