NMec = 98512
T = 37
P = 3
Profits ignored
Solution time = 3.934e+01
Maximum possible tasks = 24
Solutions = 576
Task data
    7  20     1     0
    8  13     1     1
   18  26     1     1
   20  23     1     2
   21  36     1     0
   21  45     1    -1
   34  49     1    -1
   37  41     1     0
   38  52     1    -1
   39  47     1     1
   39  59     1    -1
   40  62     1     2
   42  45     1     0
   44  70     1    -1
   52  67     1     0
   53  61     1     1
   57  77     1    -1
   61  73     1    -1
   65  74     1     1
   66  83     1     2
   67  90     1    -1
   71  75     1     0
   71  94     1    -1
   75  88     1     1
   78  84     1     0
   84  90     1     2
   85 101     1    -1
   91 102     1     0
   92  95     1     1
   95 103     1     2
   96 114     1    -1
   97 103     1     1
  103 115     1    -1
  103 116     1    -1
  104 121     1     0
  110 113     1     1
  111 116     1     2
End
