NMec = 98512
T = 37
P = 1
Profits ignored
Solution time = 4.149e-02
Maximum possible tasks = 14
Solutions = 7168
Task data
    1   3     1     0
    2  12     1    -1
    8  12     1     0
   10  31     1    -1
   13  19     1    -1
   16  25     1     0
   22  40     1    -1
   25  36     1    -1
   27  34     1    -1
   33  35     1    -1
   33  44     1     0
   42 338     1    -1
   64 191     1    -1
   65  88     1    -1
   66  79     1    -1
   72  80     1    -1
   76  85     1     0
  107 124     1    -1
  109 130     1    -1
  109 186     1    -1
  120 121     1    -1
  120 137     1     0
  137 147     1    -1
  139 141     1     0
  161 162     1     0
  177 190     1    -1
  182 189     1    -1
  183 186     1    -1
  186 198     1     0
  219 232     1    -1
  226 235     1     0
  242 257     1    -1
  253 266     1     0
  269 273     1     0
  305 325     1    -1
  308 315     1     0
  327 336     1     0
End
