NMec = 98512
T = 36
P = 2
Profits ignored
Solution time = 1.984e+00
Maximum possible tasks = 19
Solutions = 16038
Task data
   13  82     1    -1
   14  25     1    -1
   16  36     1     0
   19  21     1     1
   19 152     1    -1
   27  30     1     1
   33  47     1    -1
   34  47     1    -1
   36  46     1     1
   36  50     1    -1
   38  49     1    -1
   42  51     1    -1
   42  51     1     0
   48  54     1     1
   61  64     1     0
   68  76     1     0
   74  98     1    -1
   77  79     1     0
   77  84     1     1
   81  97     1    -1
   84 102     1    -1
   86 101     1     0
   96 112     1     1
  103 123     1    -1
  112 124     1    -1
  113 123     1     0
  117 129     1    -1
  120 131     1     1
  126 129     1     0
  126 144     1    -1
  133 141     1    -1
  136 147     1     0
  141 154     1     1
  154 160     1    -1
  155 179     1     0
  156 160     1     1
End
