NMec = 98512
T = 38
P = 2
Profits ignored
Solution time = 1.134e+00
Maximum possible tasks = 20
Solutions = 400
Task data
    0   6     1     0
    6 156     1    -1
   13  30     1     0
   17  25     1     1
   23 178     1    -1
   30  92     1    -1
   30 143     1    -1
   38  46     1     0
   39  55     1    -1
   42  68     1    -1
   44  54     1     1
   49  64     1     0
   57 159     1    -1
   60  80     1    -1
   64  74     1    -1
   65  74     1     0
   67  78     1     1
   73  87     1    -1
   82 100     1    -1
   83  89     1     0
   85 102     1    -1
   87  99     1    -1
   87 101     1     1
   94 111     1     0
  103 104     1     1
  110 132     1    -1
  113 127     1    -1
  114 122     1    -1
  122 126     1     0
  122 127     1     1
  146 163     1     0
  149 158     1     1
  149 170     1    -1
  155 171     1    -1
  169 172     1     0
  170 176     1     1
  179 187     1     0
  184 186     1     1
End
