NMec = 98512
T = 39
P = 3
Profits ignored
Solution time = 3.316e+01
Maximum possible tasks = 22
Solutions = 34800
Task data
    0 120     1    -1
    0 129     1    -1
    1  20     1     0
    2  10     1     1
    4  26     1    -1
    6  14     1     2
    9  95     1    -1
   11  27     1    -1
   16  28     1     1
   19  38     1    -1
   25  36     1     0
   26  35     1     2
   31  41     1     1
   32  56     1    -1
   36  47     1     2
   39  53     1    -1
   39  61     1    -1
   42  58     1    -1
   45  61     1     0
   50  70     1     1
   51  65     1     2
   63  71     1     0
   66  81     1    -1
   70  82     1    -1
   71  80     1     1
   73  83     1    -1
   73  83     1     0
   75  88     1    -1
   76  88     1     2
   83 104     1     1
   84 109     1     0
   96 118     1    -1
  107 111     1     1
  110 126     1    -1
  112 121     1    -1
  115 128     1     0
  117 119     1     1
  118 124     1     2
  120 129     1     1
End
