NMec = 98498
T = 39
P = 3
Profits ignored
Solution time = 1.447e+00
Maximum possible tasks = 20
Solutions = 78
Task data
    0 123     1    -1
    2  21     1    -1
    2  60     1    -1
    2 112     1    -1
    2 127     1    -1
    4  91     1    -1
    5  17     1     0
    6 101     1    -1
    8  20     1     1
    9  10     1     2
    9 127     1    -1
   13  20     1     2
   16 127     1    -1
   17  35     1    -1
   20  45     1    -1
   23  31     1     0
   26 109     1    -1
   29  46     1    -1
   30  35     1    -1
   30  36     1     1
   30  51     1     2
   32  39     1     0
   48  60     1     0
   55  68     1     1
   56  74     1    -1
   59  66     1     2
   61  67     1     0
   61  75     1    -1
   67  88     1     2
   70  81     1     0
   73  94     1     1
   84  99     1     0
   84 107     1    -1
   91 115     1    -1
   92 111     1    -1
   95 114     1     1
   98 103     1     2
  105 118     1     0
  105 121     1     2
End
