NMec = 98498
T = 38
P = 3
Profits ignored
Solution time = 2.331e+01
Maximum possible tasks = 25
Solutions = 56
Task data
    2  14     1     0
    3  10     1     1
    5  15     1     2
    6  52     1    -1
   16  26     1     0
   18  34     1    -1
   21  30     1     1
   22  37     1     2
   27  59     1    -1
   28 125     1    -1
   29  42     1     0
   31 122     1    -1
   32  44     1     1
   38  50     1     2
   38  56     1    -1
   41  59     1    -1
   45  53     1     0
   47  70     1     1
   48  72     1    -1
   52  62     1     2
   58  74     1     0
   64  68     1     2
   69  78     1     2
   71  78     1     1
   73  98     1    -1
   76  89     1    -1
   81  96     1    -1
   82  86     1     0
   83  98     1    -1
   85  94     1     1
   85 102     1     2
   89  99     1     0
   97 110     1    -1
   99 105     1     1
  102 115     1     0
  107 110     1     1
  108 124     1     2
  111 114     1     1
End
