NMec = 98498
T = 38
P = 1
Profits ignored
Solution time = 1.499e-01
Maximum possible tasks = 17
Solutions = 972
Task data
    2  26     1    -1
    4  13     1     0
   32  45     1    -1
   33 282     1    -1
   34  51     1    -1
   39  49     1     0
   52  56     1     0
   52 361     1    -1
   58  83     1     0
   72  90     1    -1
   77 301     1    -1
   86  94     1     0
  118 140     1    -1
  122 125     1     0
  127 135     1     0
  133 234     1    -1
  139 148     1    -1
  146 150     1    -1
  146 152     1     0
  156 160     1     0
  162 231     1    -1
  164 173     1    -1
  171 182     1     0
  180 198     1    -1
  193 212     1     0
  195 222     1    -1
  218 229     1     0
  265 272     1     0
  274 282     1    -1
  274 286     1     0
  294 312     1    -1
  296 318     1    -1
  301 309     1     0
  324 350     1    -1
  328 339     1    -1
  332 342     1     0
  338 361     1    -1
  356 377     1     0
End
