NMec = 98498
T = 37
P = 3
Profits ignored
Solution time = 6.917e+00
Maximum possible tasks = 21
Solutions = 900
Task data
    0  17     1    -1
    0  24     1    -1
    0 100     1    -1
    0 123     1    -1
    3  10     1     0
    3  25     1     1
    8  18     1     2
   11  28     1     0
   13  47     1    -1
   23  33     1     2
   34  52     1    -1
   36 117     1    -1
   39  45     1     0
   39  48     1    -1
   41  51     1    -1
   44  53     1    -1
   44  55     1     1
   45  50     1     2
   48  49     1     0
   50  64     1     0
   55  67     1    -1
   58  81     1    -1
   60  76     1     1
   62  73     1     2
   65  83     1     0
   76  83     1     2
   77  89     1     1
   83  94     1    -1
   84  97     1    -1
   85 110     1    -1
   90 102     1     0
   91 104     1     1
   93  94     1     2
   94 117     1    -1
  103 108     1     0
  104 120     1     2
  105 118     1     1
End
